id,turn number,generated response
393,6,"190: Yeah, it's just not a priority for me. I'm not interested in their lives or what they're doing."
393,7,191: I feel the same way. I don't really care about the news or what's happening in the world.
393,8,"192: I don't think it's that important to be up to date with the news, especially when it's mostly about celebrities."
393,9,193: I agree. I think it's more important to focus on our own lives and things that are important to us.
393,10,"194: Yeah, I think that's true. I don't think we need to be constantly bombarded with the news."
393,11,"195: I think it's good to stay informed about what's happening in the world, but I don't think we need to be constantly checking the news."
393,12,196: I think it's better to just focus on our own lives and not worry too much about what's happening in the world.
393,13,"197: Yeah, I think it's more important to live in the present and enjoy the little things in life."
393,14,198: I agree. I think we spend too much time worrying about things that haven't happened yet.
393,15,"199: Yeah, it's important to live in the present and not worry about things that are out of our control.

## Coding"
394,6,185: I was surprised by that. I thought he was a pretty confident guy.
394,7,"160: Yes, and he seemed to think he needed to be the ""perfect"" boyfriend."
394,8,"154: Yes, and I think that's really sad."
394,9,142: Do you think he was insecure about something else?
394,10,134: Maybe about his looks or something.
394,11,132: I think that was probably the case.
394,12,"137: Yeah, I don't think it's healthy to feel like you have to be perfect in order to be a good boyfriend."
394,13,"135: Yes, I think a lot of guys feel that way."
394,14,134: Definitely.
394,15,143: I think we all feel that way sometimes.
396,6,"191: I think they were probably alone. They were in a really dark place, and they were probably scared and confused."
396,7,"52: I think so too. They were probably in a state of shock, and they didn't know what was happening.

INPUT (Turns 11-15):"
396,8,191: I was thinking about how the other children in the cave were probably scared and confused.
396,9,"52: Yeah, I can't even imagine how scared they must have been.

INPUT (Turns 16-20):"
396,10,191: I was thinking about how the parents must have felt when they found out what happened.
396,11,"52: I think they were probably devastated and heartbroken.

INPUT (Turns 21-25):"
396,12,191: I was thinking about how the other children in the cave were probably sad and scared.
396,13,"52: Yeah, it must have been really hard for them.

INPUT (Turns 26-30):"
396,14,191: I was thinking about how the children in the cave must have felt when they were rescued.
396,15,"52: Yeah, I can't imagine how scared they must have been.

INPUT (Turns 31-35):"
398,6,194: I actually thought it was pretty interesting. I never would have thought of it from my perspective.
398,7,"52: Yeah, I think he's right that you can't really be good enough for anyone."
398,8,194: I think that's really true.
398,9,"52: Yeah, and it's not really about how you feel about yourself. It's how you feel about yourself in relation to other people."
398,10,"194: Yeah, I don't think I really get it."
398,11,52: I think it's because we have this idea of perfection that we expect from ourselves and from others.
398,12,"194: Yeah, and it's impossible to live up to."
398,13,"52: Right, and it's not even good for us to do so."
398,14,"194: Yeah, I think we should focus on accepting ourselves as we are instead of trying to be something we're not."
398,15,"52: Yeah, I think that's a really good point."
402,6,"1: I agree it's good that they managed to keep their marriage going, but it's not all that different from any other celebrity couple."
402,7,180: I think there's a difference in that they've been in the public eye for so long and they've been through so much. It's not like a lot of celebrities that are just getting into the spotlight.
402,8,"52: They've been married for 20 years, which is a lot longer than most people are married."
402,9,180: I think that's part of the reason why their relationship has been so strong.
402,10,"52: I think it's also because they're both so talented and successful in their careers. They've been able to support each other and be there for each other through thick and thin.

OUTPUT (Turns 6-15):
Person"
402,11,"1: I think that's a good point. They've been married for a long time, but they still have their ups and downs just like any other couple."
402,12,180: I think that's because they're both very successful and have to deal with a lot of stress and pressure.
402,13,"52: Yeah, I think it can be hard to maintain a relationship when you're both very busy and have a lot of responsibilities."
402,14,180: I think it's also because they're both very high-profile and have a lot of public scrutiny.
402,15,"52: Yeah, I can see that.

### Solution ###
```python
def generate_output("
403,6,52: I feel the same way. I think it was a very emotional and interesting story.
403,7,"199: Yes, I agree."
403,8,52: But I am not sure I agree with the way the story was presented.
403,9,199: What do you mean?
403,10,"52: Well, it seems like the story is really focusing on the brothers' troubled backgrounds and the way they were treated in the system."
403,11,"199: Yes, that seems to be the main point of the article."
403,12,52: I don't think it's necessary to dwell on that.
403,13,199: What do you mean?
403,14,"52: I mean, I think it's important to acknowledge the issues with the foster care and prison system, but I don't think it's necessary to spend the entire article on it."
403,15,"199: I see what you're saying, but I think it's important to shed light on the problems in the system so that we can work towards fixing them."
404,6,"187: I think that's so true. I think a lot of women who are abused are afraid to come forward and talk about it because they're afraid they won't be believed or they'll be blamed.

OUTPUT (Turns 6-15):"
404,7,"187: I think that's a huge problem. I mean, I think a lot of women would rather stay in an abusive relationship than leave because they're afraid of being alone."
404,8,"52: Yes, I think it's really hard to get out of an abusive relationship and I think it's sad because she's a great actress."
404,9,"187: Yeah, she is. I think it's sad how much abuse is happening to women, but it's good that she's finally talking about it."
404,10,"52: Yeah, I think it's really important for her to share her story because it might help other women who are in the same situation."
404,11,187: I think it's important for her to raise awareness and hopefully help other women who are in the same situation.
404,12,"52: Yeah, I think it's really important for her to be open and honest about what happened to her."
404,13,"187: Yeah, I think it's really brave of her to share her story because it takes a lot of courage to talk about something like that."
404,14,"52: Yeah, I think it's really inspiring that she's using her experience to help other women."
404,15,"187: Yeah, I think it's really brave of her to talk about it."
413,6,208: I agree. I think it's important to hold our leaders accountable for their actions.
413,7,209: Definitely. I think it's important to stay informed about what's happening in the world.
413,8,"210: Yes, and it's important to use our voices to speak out against injustice."
413,9,211: I think it's important to support organizations that are working to bring about change.
413,10,"212: Yes, and it's important to educate ourselves and others about the issues."
413,11,213: I think it's important to stay hopeful and keep fighting for a better world.
413,12,"214: Yes, and I think it's important to remember that change takes time, but it's worth it."
413,13,"215: Absolutely. We can't give up.

#

#

## Acknowledgments

I am grateful to the many people who helped me think up and develop this book, including my wife, who read it, and the many friends and family members who provided feedback on the text and provided encouragement and support. 

## About the Author

**Stephanie E. O'Brien** is an award-winning writer, educator, and public speaker, and the author of the award-winning _Cannabis in"
413,14,"America: A History_. Her first novel _The Perfect Woman_ won the 2009 International Thriller Writers Award for best first novel. She lives in Boulder, Colorado.

## Contents


## Introduction

##

### About the Author

**Stephanie E. O'Brien** is the author of _Cannabis in"
413,15,"America: A Novel_. _Cannabis in America_ tells the story of a fictional protagonist and fictional story

##

Cannabis (Cannabis in America's War on Drugs

##"
416,6,5: I think it's very sad and upsetting. The man who committed the crime seems to have a lot of anger and resentment towards the victim. I'm glad he was caught and will hopefully be punished for his actions. What did you think about the way the police handled the investigation and the trial?
416,7,8: I think the police did a good job of gathering evidence and building a case against the suspect. It's important that justice is served for the victim and their family. What was your overall opinion of the article?
416,8,19: It's really sad to see such a senseless act of violence and loss of life. It's important for us to remember the victims and their families and work towards preventing such tragedies in the future.
417,6,"210: Yes, it was a hard read."
417,7,52: It's a lot to take in.
417,8,210: Yeah it's a lot to digest and it's sad to see it in real life.
417,9,52: It's a pretty hard thing to watch.
417,10,"210: Yes, it was very hard to watch."
417,11,52: I agree.
417,12,210: Thanks for chatting!
417,13,"52: Thanks for chatting!

OUTPUT (Turns 6-10):

INPUT (Turns 6-10):"
417,14,210: Hello
417,15,52: Hi! What did you think about the article?
419,6,212: I think it's just the world's way of reminding us that it's not a good place to be.
419,7,"52: Yeah, it's pretty depressing."
419,8,212: I don't know how they survived in there for so long.
419,9,"52: I don't think they did, it's too much."
419,10,212: I think it's a good reminder that we need to appreciate what we have and be grateful for it.
419,11,"52: Yeah, definitely."
419,12,212: Have you ever been in a cave before?
419,13,"52: No, I don't think I could handle it."
419,14,"212: Yeah, I'm pretty claustrophobic too."
419,15,"52: Me too, I get so anxious in small spaces."
421,6,"215: I'm not sure if the answer is ""more guns"" or not."
421,7,"216: I think it is both, guns and mental illness."
421,8,217: I think mental illness is a big issue. Guns should be very tightly regulated and there should be a lot more background checks.
421,9,218: i am of the belief that guns are a social evil.
421,10,"219: I agree. The only way to reduce gun violence is to reduce gun ownership.

OUTPUT (Turns 6-15):
Person"
421,11,1: I was just thinking the same thing. I think it's a combination of both. Guns are a social evil and we need to regulate them. It's sad that some people are willing to die for a gun.
421,12,220: I think mental illness is a big issue.
421,13,221: I agree. Guns should be tightly regulated and there should be a lot more background checks.
421,14,222: i think mental illness is a big issue.
422,6,"202: I agree, it's really sad. I feel like these kids don't have a home or a stable environment to grow up in."
422,7,203: It's also really sad that the brothers are not being taken care of by the people who are supposed to be looking out for them. It makes me wonder how much worse it could have been.
422,8,"204: Yes, it's really sad and I feel bad for them."
422,9,205: It makes me wonder if the foster care system is doing enough to protect these kids.
422,10,206: I think the government needs to do more to ensure that all kids have a safe and stable environment to grow up in.
422,11,"207: I agree, and I think we should do more to support families and prevent kids from ending up in the foster care system."
422,12,208: It's really sad to think about. I wish there was more we could do to help.
423,6,211: I think it's great that he's been able to turn his life around and he's a great guy. I hope he can get his life back on track.
423,7,213: I don't really have an opinion on this topic.
423,8,214: I think it's great that he's been able to turn his life around and he's a great guy. I hope he can get his life back on track.
423,9,215: I think it's great that he's been able to turn his life around and he's a great guy. I hope he can get his life back on track.
423,10,217: I don't really have an opinion on this topic.
423,11,218: I think it's great that he's been able to turn his life around and he's a great guy. I hope he can get his life back on track.
423,12,"219: I think it's great that he's been able to turn his life around and he's a great guy. I hope he can get his life back on track.

### Example 6 ###
INPUT (Turns 1-5):"
423,13,31: I think Shelton's journey and the challenges he faced growing up through the foster system and his time in prison is a great example of how we need to address the mental health issues in our prisons. Person
423,14,"1: I agree, it's important to provide the resources and support needed to help people turn their lives around. Person"
423,15,2: I think it's great that he's been able to turn his life around and he's a great guy. I hope he can get his life back on track. Person
426,6,"52: Yeah, it seems like it's a really bad situation."
426,7,218: Yeah it does.
426,8,52: I was reading about the situation where the kid was killed. He was 12 years old and the foster parents didn't want him there. He didn't have a place to go and they just let him stay in the house.
426,9,"218: Yeah, I read that too. He was just 12 and he was alone in the house and he was found dead in the house."
426,10,52: Yeah and I was just reading about the foster mom and the social worker that she's accused of doing. She was accused of sexually assaulting the 12 year old.
426,11,"52: Yeah, the foster mom was found guilty of that and she was sentenced to 5 years in prison."
426,12,218: Yeah I was reading about that.
426,13,"52: Yeah, she was sentenced to 5 years in prison."
426,14,218: I was also reading about the foster mom and she was accused of sexually assaulting the 12 year old.
426,15,"52: Yeah, the foster mom was found guilty of that and she was sentenced to 5 years in prison."
427,6,192: Definitely.
427,7,52: Do you think there's anything that can be done to help?
427,8,192: I think raising awareness and putting pressure on the government is a good start.
427,9,52: Agreed.
427,10,192: It's just sad to think about all the lives lost.
427,11,"52: Yes, it's heartbreaking.

### Your Turn ###
INPUT (Turns 1-5):"
427,12,192: Hello
427,13,52: Hi there! What did you think about the article about the situation in Burma?
427,14,192: Very distressing.
427,15,"52: Absolutely, it's deeply troubling to see so many innocent people suffering."
428,6,221: I agree. It's important to bring attention to these issues and work towards finding solutions.
428,7,"222: Absolutely. I hope that by discussing it and spreading awareness, we can make a difference."
428,8,223: I think so too. It's great to see people coming together to address these important topics.
428,9,224: Definitely. It's through conversations like these that we can create positive change.
428,10,225: I couldn't agree more. Let's keep the conversation going and continue to support one another.
428,11,"226: I'm glad to hear that. Together, we can make a difference."
428,12,"227: Absolutely. Thanks for starting this conversation, it was really meaningful."
428,13,228: Thank you for joining. I enjoyed hearing your perspective as well.
428,14,229: Likewise. Let's keep the positivity and awareness going.
428,15,230: Definitely. Have a great day!
432,6,222: Yeah. I wonder what was the reasoning behind it.
432,7,52: I'm not sure.
432,8,222: I wonder what their plans are for the future.
432,9,52: I think they're trying to make Burmese people like themselves more.
432,10,222: Interesting.
432,11,52: I wonder if they're also trying to gain more power.
432,12,222: It's possible. I wonder how they got their information.
432,13,52: They probably just did a Google search.
432,14,222: I wonder if they're getting their information from any sources other than Google.
432,15,52: Probably not.
433,6,"223: Yes, it was very sad to read about the young boy's death. It seems like the driver of the truck was under the influence. What were your thoughts on the truck driver's actions?

OUTPUT (Turns 6-15):"
433,7,"223: I think it was a very careless and irresponsible decision to get behind the wheel while intoxicated. What were your thoughts on the driver's age?

OUTPUT (Turns 6-15):"
433,8,"223: It's unfortunate that the driver was so reckless and put the lives of others at risk. What was your take on the response from the trucking company?

OUTPUT (Turns 6-15):"
433,9,"223: I think it was a good decision to immediately remove the driver from their job and prevent them from driving again. What were your thoughts on the trucking company's decision to take legal action?

OUTPUT (Turns 6-15):"
433,10,"223: I think it was a necessary step to ensure that the driver faces the consequences of their actions and to prevent future accidents caused by impaired driving. What were your thoughts on the trucking company's decision to cooperate with the authorities?

OUTPUT (Turns 6-15):"
433,11,"223: I think it was a responsible decision to cooperate with the authorities and take responsibility for their driver's actions. What were your thoughts on the trucking company's decision to voluntarily pay for the damages caused by the accident?

OUTPUT (Turns 6-15)"
433,12,"223: I think it was a responsible decision on their part.

OUTPUT (Turns 6-15):"
433,13,"223: Yes, it's important to take responsibility and make am"
438,6,206: It's just a tragedy on top of a tragedy.
438,7,52: I agree. And it's scary to think that this kind of thing can happen so easily.
438,8,206: It's a wake-up call to all of us to be more aware and vigilant.
438,9,52: Definitely. It's important to take the time to reflect on the impact our actions can have on others.
438,10,206: Absolutely. Let's remember to be kind and considerate in everything we do.
438,11,52: Agreed. It's the least we can do to make the world a better place.
438,12,206: Well said. Let's strive to be a positive force in the world.
438,13,"52: I couldn't agree more. Together, we can make a difference."
438,14,"206: Yes, let's work towards a world where tragedies like this are no longer a reality."
438,15,"52: Amen to that.


# Solution

def get_next_turns("
439,6,52: Me too. I'm also saddened that it's a family member.
439,7,185: I agree.
439,8,52: I wonder how his family will cope with the loss.
439,9,185: I hope they get through it.
439,10,"52: Yeah, me too."
439,11,185: I hope he's okay.
439,12,52: Me too.
439,13,185: I wonder if the police will find the suspect.
439,14,52: I hope so.
439,15,185: I hope they catch him.
442,6,194: It's heartbreaking to hear about someone losing their life in such a senseless act.
442,7,"52: Yes, it's a stark reminder of the dangers that exist in the world."
442,8,"194: Definitely, it's important to be aware of our surroundings and take precautions to ensure our safety."
442,9,"52: Absolutely, we should always be vigilant and look out for one another."
442,10,"194: That's true, we can all play a role in creating a safer environment for everyone."
