id,turn_number,generated_response
393,6,I think they should do a telethon get a bunch of celebrities and make a hashtag. encourage people to donate and volunteer
393,7,I think they should do a telethon get a bunch of celebrities and make a hashtag. encourage people to donate and volunteer
393,8,I think they should do a telethon get a bunch of celebrities and make a hashtag. encourage people to donate and volunteer
393,9,I think they should do a telethon get a bunch of celebrities and make a hashtag. encourage people to donate and volunteer
393,10,I think they should do a telethon get a bunch of celebrities and make a hashtag. encourage people to donate and volunteer
394,6,I'm happy they waited for the children to be over 18 before the marriage broke up.
394,7,I'm happy they waited for the children to be over 18 before the marriage broke up.
394,8,I'm happy they waited for the children to be over 18 before the marriage broke up.
394,9,I'm happy they waited for the children to be over 18 before the marriage broke up.
394,10,I'm happy they waited for the children to be over 18 before the marriage broke up.
396,6,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
396,7,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
396,8,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
396,9,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
396,10,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
398,6,I'm happy they waited for the children to be over 18 before the marriage broke up.
398,7,I'm happy they waited for the children to be over 18 before the marriage broke up.
398,8,I'm happy they waited for the children to be over 18 before the marriage broke up.
398,9,I'm happy they waited for the children to be over 18 before the marriage broke up.
398,10,I'm happy they waited for the children to be over 18 before the marriage broke up.
402,6,"I have to agree. I hope that by raising our own awarness with conversations like these we can start seeing some change. I've enjoyed this conversation and want to thank you for sharing your thoughts and ideas. I've enjoyed our talk, goodbye."
402,7,"I have to agree. I hope that by raising our own awarness with conversations like these we can start seeing some change. I've enjoyed this conversation and want to thank you for sharing your thoughts and ideas. I've enjoyed our talk, goodbye."
402,8,"I have to agree. I hope that by raising our own awarness with conversations like these we can start seeing some change. I've enjoyed this conversation and want to thank you for sharing your thoughts and ideas. I've enjoyed our talk, goodbye."
402,9,"I have to agree. I hope that by raising our own awarness with conversations like these we can start seeing some change. I've enjoyed this conversation and want to thank you for sharing your thoughts and ideas. I've enjoyed our talk, goodbye."
